0     DEBUG [main] org.scriptinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.scriptinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [TaskPoolSize=5]
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Widget.js isRepeatable=[false], isStreaming=[true]
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Widget.js]
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10734 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/lang/declare.js isRepeatable=[false], isStreaming=[true]
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/lang/declare.js]
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10797 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/ns.js isRepeatable=[false], isStreaming=[true]
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/ns.js]
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10828 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Manager.js isRepeatable=[false], isStreaming=[true]
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Manager.js]
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10875 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/a11y.js isRepeatable=[false], isStreaming=[true]
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/a11y.js]
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10906 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/uri/__package__.js isRepeatable=[false], isStreaming=[true]
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/uri/__package__.js]
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10922 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Parse.js isRepeatable=[false], isStreaming=[true]
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/Parse.js]
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10969 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/DomWidget.js isRepeatable=[false], isStreaming=[true]
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/DomWidget.js]
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
11015 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/HtmlWidget.js isRepeatable=[false], isStreaming=[true]
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/HtmlWidget.js]
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
