0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:16:12 GMT
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
412203 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchAAGMGRBSDgkgUyGcFIAQD________________________3_wA]
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:16:12 GMT
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
412688 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChFnb29nLXBoaXNoLXNoYXZhchAAGOGSBSCAlAUqEKhJAQD______________wEyDWFJAQD__________38]
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:16:13 GMT
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
413203 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >> Request [http://download.mozilla.org/?product=firefox-3.0.17-complete&os=win&lang=en-US]
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 302 Found
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Host: download.mozilla.org
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Range: bytes=3000000-3299999
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:17:14 GMT
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: dmo=10.2.84.4.1265876234876985; path=/; expires=Fri, 11-Feb-11 08:17:14 GMT
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: PHP/5.1.6
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0, private
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Pragma: no-cache
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Location: http://mozilla-mirror.3347.voxcdn.com/pub/mozilla.org/firefox/releases/3.0.17/update/win32/en-US/firefox-3.0.17.complete.mar
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=988
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
474922 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html; charset=UTF-8
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >> Request [http://mozilla-mirror.3347.voxcdn.com/pub/mozilla.org/firefox/releases/3.0.17/update/win32/en-US/firefox-3.0.17.complete.mar]
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 206 Partial Content
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Host: mozilla-mirror.3347.voxcdn.com
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Range: bytes=3000000-3299999
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:17:15 GMT
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Server: VoxCAST
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 22 Dec 2009 10:21:37 GMT
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                ETag: "13ee2e4-96e79d-47b4e922e0e40"
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Age: 1475080
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                X-Cache: HIT from VoxCAST
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Warning: 113 Heuristic expiration
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Content-Range: bytes 3000000-3299999/9889693
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=100
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
475344 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/octet-stream
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/index.jsp]
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: JSP/2.1
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: JSESSIONID=c1a4a611e5be85a7d808ba8e0f6b; Path=/petstore
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html;charset=UTF-8
481735 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:17:05 GMT
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/favicon.ico]
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 404 Not Found
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Content-Language: 
482094 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:17:05 GMT
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/favicon.ico]
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 404 Not Found
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Content-Language: 
485203 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:17:09 GMT
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing.clients.google.com/safebrowsing/downloads?client=navclient-auto-ffox&appver=3.0.15&pver=2.2&wrkey=AKEgNiteVSzMkylgI74J31Sc0ZlSu-vYh6ZQEAaNJzqvfR84HXZb4izplr3YS5uszg2O2jqDQlmOZBKr7eebleYeZ89OT1THiQ==]
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing.clients.google.com
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Content-Type: text/plain
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Content-Length: 126
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-update
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: PREF=ID=46122a503dc83792:TM=1265876428:LM=1265876428:S=gAGycuQTAniS46Kl; expires=Sat, 11-Feb-2012 08:20:28 GMT; path=/; domain=.google.com
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:20:28 GMT
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:20:28 GMT
668375 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: private
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAY0YIBIKCDATIPUUEAAL_7______f___8A]
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=46122a503dc83792:TM=1265876428:LM=1265876428:S=gAGycuQTAniS46Kl
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:20:28 GMT
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
668547 INFO  [pool-1-thread-11] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAYoYMBIPCDATIPoUEAAP-_9__3______8A]
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
736750 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
